Player,Age,Team,Pos,GP,G,A,PTS,PlusMin,PS,S,TOI,BLK,HIT
David Kampf,27,TOR,C,82,11,15,26,12,1.6,102,1252,26,80
Evander Kane,30,EDM,LW,43,22,17,39,25,5.3,152,836,11,135
Patrick Kane,33,CHI,RW,78,26,66,92,-19,8.1,287,1702,26,11
Kasperi Kapanen,25,PIT,RW,79,11,21,32,2,2.3,129,1148,19,110
Kirill Kaprizov,24,MIN,LW,81,47,61,108,27,12.8,289,1548,29,73
Erik Karlsson,31,SJS,D,50,10,25,35,-14,5.2,117,1174,45,18
William Karlsson,29,VEG,C,67,12,23,35,3,2.6,135,1225,42,42
Fredrik Karlstrom,24,DAL,C,3,0,1,1,2,0.1,1,19,0,0
Ondrej Kase,26,TOR,RW,50,14,13,27,4,2.8,119,699,32,29
Zack Kassian,31,EDM,RW,58,6,13,19,2,1.3,58,684,6,154
Mark Kastelic,22,OTT,C,16,2,2,4,-1,0.3,11,147,10,51
Boris Katchouk,23,TOT,LW,59,3,4,7,-7,-0.3,58,585,20,138
Martin Kaut,22,COL,RW,6,0,0,0,2,0,1,53,3,6
Joey Keane,22,CAR,D,1,0,0,0,0,0,1,14,0,1
Duncan Keith,38,EDM,D,64,1,20,21,15,4,79,1263,114,22
Clayton Keller,23,ARI,C,67,28,35,63,3,6.7,177,1349,31,17
Parker Kelly,22,OTT,F,41,7,5,12,-4,1.1,48,434,30,131
Adrian Kempe,25,LAK,LW,78,35,19,54,-2,6.5,247,1450,28,111
Michal Kempny,31,WSH,D,15,1,1,2,-3,0.3,10,238,19,22
Alexander Kerfoot,27,TOR,C,82,13,38,51,19,4.5,117,1248,65,75
Tanner Kero,29,DAL,RW,23,0,3,3,-5,-0.2,14,220,9,12
Phil Kessel,34,ARI,RW,82,8,44,52,-24,2.7,175,1368,21,6
Jujhar Khaira,27,CHI,LW,27,3,0,3,-4,-0.1,32,367,14,88
Matt Kiersted,23,FLA,D,10,1,1,2,-8,-0.3,11,140,17,10
Alex Killorn,32,TBL,C,82,25,34,59,1,5.4,164,1533,26,88
Bryce Kindopp,22,ANA,F,1,0,0,0,0,0,2,6,0,0
Joel Kiviranta,25,DAL,F,56,1,6,7,-6,-0.2,59,533,23,97
John Klingberg,29,DAL,D,74,6,41,47,-28,5.4,139,1643,77,57
Artemi Kniazev,21,SJS,D,1,0,0,0,-2,-0.1,2,12,0,1
Slater Koekkoek,27,EDM,D,19,0,4,4,2,0.7,11,212,18,21
Otto Koivula,23,NYI,LW,8,0,2,2,-2,0,8,86,4,8
Keegan Kolesar,24,VEG,RW,77,7,17,24,-6,1.1,94,974,46,246
Vladislav Kolyachonok,20,ARI,D,32,1,2,3,0,0.9,24,507,36,39
Leo Komarov,35,NYI,C,1,0,0,0,0,0,0,11,0,3
Travis Konecny,24,PHI,C,79,16,36,52,-23,3.8,220,1391,34,80
Anze Kopitar,34,LAK,C,81,19,48,67,-6,5.7,210,1682,71,72
Kaedan Korczak,21,VEG,D,1,0,0,0,1,0.1,0,17,1,0
Klim Kostin,22,STL,C,40,4,5,9,-3,0.5,31,361,9,90
Jesperi Kotkaniemi,21,CAR,C,66,12,17,29,3,2.7,81,794,15,74
Johnathan Kovacevic,24,WPG,D,4,0,0,0,1,0.1,7,43,3,0
Peyton Krebs,21,TOT,C,57,7,15,22,-26,0.6,56,831,8,25
Chris Kreider,30,NYR,LW,81,52,25,77,19,10.8,258,1517,39,141
Torey Krug,30,STL,D,64,9,34,43,23,7.2,119,1316,70,53
Dominik Kubalík,26,CHI,LW,78,15,17,32,-16,2.3,161,1133,28,93
Nikita Kucherov,28,TBL,RW,47,25,44,69,1,7.4,156,939,7,32
Karson Kuhlman,26,TOT,C,44,3,7,10,-2,0.4,68,524,20,71
Dean Kukan,28,CBJ,D,41,3,8,11,-2,1.6,41,668,39,43
Brett Kulak,28,TOT,D,74,5,16,21,-4,3.2,92,1314,63,103
Dmitry Kulikov,31,MIN,D,80,7,17,24,23,4.7,74,1456,103,100
Luke Kunin,24,NSH,C,82,13,9,22,-11,1,125,1134,51,223
Janne Kuokkanen,23,NJD,C,57,6,11,17,-10,0.6,64,769,22,33
Rasmus Kupari,21,LAK,C,57,5,8,13,-5,0.6,51,673,17,68
Sean Kuraly,29,CBJ,C,77,14,16,30,2,2.2,121,1221,51,240
Philipp Kurashev,22,CHI,C,67,6,15,21,-16,0.8,86,861,30,31
Evgeny Kuznetsov,29,WSH,C,79,24,54,78,7,7.6,208,1602,25,42
Oliver Kylington,24,CGY,D,73,9,22,31,34,7.2,138,1326,79,40
Jordan Kyrou,23,STL,C,74,27,48,75,10,7.8,188,1227,23,6
Kevin Labanc,26,SJS,RW,21,3,3,6,-4,0.4,36,279,9,28
Tanner Laczynski,24,PHI,C,1,0,0,0,-1,-0.1,0,9,1,3
Andrew Ladd,36,ARI,LW,51,7,5,12,-20,-0.1,57,720,33,68
Paul Ladue,29,NYI,D,1,0,0,0,-2,-0.1,1,13,1,2
Sam Lafferty,26,TOT,C,56,5,8,13,-16,0,80,760,26,137
Alexis Lafreniere,20,NYR,LW,79,19,12,31,2,3.2,110,1105,26,108
William Lagesson,25,TOT,D,33,0,5,5,3,1,33,415,20,40
Patrik Laine,23,CBJ,RW,56,26,30,56,-7,5.8,167,1054,13,34
Maxime Lajoie,24,CAR,D,5,0,0,0,2,0.2,6,63,5,3
Juho Lammikko,26,VAN,RW,75,7,8,15,-6,0.4,67,921,46,93
Gabriel Landeskog,29,COL,LW,51,30,29,59,27,7.5,150,1036,34,94
Hendrix Lapierre,19,WSH,C,6,1,0,1,2,0.2,7,58,2,1
Dylan Larkin,25,DET,C,71,31,38,69,-18,6.8,212,1396,28,76
Adam Larsson,29,SEA,D,82,8,17,25,-23,3.5,119,1827,140,183
Jacob Larsson,24,ANA,D,6,0,1,1,-3,0,5,92,5,1
Johan Larsson,29,TOT,LW,43,7,14,21,-4,1.4,44,684,25,70
Scott Laughton,27,PHI,C,67,11,19,30,-9,2.1,110,1100,47,151
Jeremy Lauzon,24,TOT,D,66,2,5,7,-6,1.6,75,1166,63,224
Curtis Lazar,26,BOS,C,70,8,8,16,-2,1,95,840,51,186
Brett Leason,22,WSH,RW,36,3,3,6,1,0.4,45,322,14,16
Nick Leddy,30,TOT,D,75,3,21,24,-30,1.7,71,1606,67,37
Anders Lee,31,NYI,LW,76,28,18,46,-11,5.1,159,1264,30,94
Artturi Lehkonen,26,TOT,LW,74,19,19,38,1,3.7,155,1117,39,82
Josh Leivo,28,CAR,LW,7,1,2,3,1,0.3,10,65,1,4
Brendan Lemieux,25,LAK,LW,50,8,5,13,1,1.3,65,537,17,122
John Leonard,23,SJS,LW,14,1,1,2,-5,-0.1,25,158,8,13
Jake Leschyshyn,22,VEG,C,41,2,4,6,-2,-0.1,35,463,23,45
Kris Letang,34,PIT,D,78,10,58,68,20,10.6,214,2011,122,171
Vinni Lettieri,26,ANA,C,31,5,5,10,-8,0.6,50,388,17,40
